register,company_name,insurance_join_key,insurance_org_type,detail_rows,source_detail_url,scraped_at
,nan,NAN,Review,,https://www.frc.mn:5001/api/frc/entity?id=13&otid=0,
,Даатгалын актуарч,АКТУАРЧ,Review,,https://www.frc.mn:5001/api/menu/getparentsub?id=13&site=main&lang=mn&status=1,
,Даатгалын багц дүрэм,БАГЦДҮРЭМ,Review,,https://www.frc.mn:5001/api/menu/getparentsub?id=13&site=main&lang=mn&status=1,
,Даатгалын байгууллагад аудит хийх эрх бүхий компани,БАЙГУУЛЛАГАДАУДИТХИЙХЭРХБҮХИЙ,Review,,https://www.frc.mn:5001/api/menu/getparentsub?id=13&site=main&lang=mn&status=1,
,Даатгалын байгууллагын тоон мэдээлэл,БАЙГУУЛЛАГЫНТООНМЭДЭЭЛЭЛ,Review,,https://www.frc.mn:5001/api/menu/getparentsub?id=13&site=main&lang=mn&status=1,
,Даатгалын зуучлагч банк,БАНК,Review,,https://www.frc.mn:5001/api/menu/getparentsub?id=13&site=main&lang=mn&status=1,
,Даатгалын компаниудын БОНЗ тайлан,УДЫНБОНЗТАЙЛАН,Review,,https://www.frc.mn:5001/api/menu/getparentsub?id=13&site=main&lang=mn&status=1,
,Даатгалын төлөөлөгч,ТӨЛӨӨЛӨГЧ,Review,,https://www.frc.mn:5001/api/menu/getparentsub?id=13&site=main&lang=mn&status=1,
,Давхар даатгалын компани,ДАВХАР,Review,,https://www.frc.mn:5001/api/menu/getparentsub?id=13&site=main&lang=mn&status=1,
,Ердийн даатгалын компани,ЕРДИЙН,Review,,https://www.frc.mn:5001/api/menu/getparentsub?id=13&site=main&lang=mn&status=1,
,Ногоон даатгалын бүтээгдэхүүн,НОГООНБҮТЭЭГДЭХҮҮН,Review,,https://www.frc.mn:5001/api/menu/getparentsub?id=13&site=main&lang=mn&status=1,
,Урт хугацааны даатгал компани,УРТХУГАЦААНЫ,Review,,https://www.frc.mn:5001/api/menu/getparentsub?id=13&site=main&lang=mn&status=1,
,Хүртээмжтэй даатгал,ХҮРТЭЭМЖТЭЙ,Review,,https://www.frc.mn:5001/api/menu/getsubmenu?id=13&site=main&lang=mn&status=1,
