text,register_guess,insurance_org_type_guess,href,text_len
"3 ""Үндэстэн женерал даатгал"" ХХК 2025-11-27 13 Хороолол /13374/, Манлай баатар Дамдинсүрэн гудамж 83/2 оффисын 407 тоот Утас:77301212 Дэлгэрэнгүй",,Даатгалын байгууллага,#/sct/org-detail/7139721,145
6 Коннектлайф даатгал ХХК 2025-07-24 Улаанбаатар Хан-Уул 11-р хороо Зайсан гудамж 68 01 Дэлгэрэнгүй,,Даатгалын байгууллага,#/sct/org-detail/8427976,99
9 Агис менежмент даатгал 2024-11-25 Улаанбаатар Сүхбаатар 1-р хороо Чагдаржавын гудамж 32/2 1403 Дэлгэрэнгүй,,Даатгалын байгууллага,#/sct/org-detail/7043689,108
"17 ""ИНШҮРКО ДААТГАЛ"" ХХК 2024-03-20 Улаанбаатар Сүхбаатар 1-р хороо Эко интернэйшнл тауэр, 9-р давхар 901, 903 тоот Дэлгэрэнгүй",,Давхар даатгал,#/sct/org-detail/8437882,127
Даатгал,,Даатгалын байгууллага,/#/sct;id=13,7
"Зохицуулалтын салбар Үнэт цаас Даатгал Банк бус санхүүгийн байгууллага Хадгаламж зээлийн хоршоо Үл хөдлөх эд хөрөнгө зуучлал Үнэт металл, үнэт эдлэл Виртуал хөрөнгийн үйлчилгээ үзүүлэгч Мөнгөн зээлийн үйл ажиллагаа эрхлэгч",,Даатгалын зуучлагч,/#/sct;id=11,222
Ердийн даатгалын компани,,Ердийн даатгал,#/sct;id=13/insurance/300,24
Урт хугацааны даатгал компани,,Урт хугацааны даатгал,#/sct;id=13/longinsurance/301,29
Давхар даатгалын компани,,Давхар даатгал,#/sct;id=13/reinsurance/302,24
Даатгалын зуучлагч компани,,Даатгалын зуучлагч,#/sct;id=13/insurance-broker/303,26
Даатгалын зуучлагч банк,,Даатгалын зуучлагч,#/sct;id=13/bank-broker/304,23
Даатгалын хохирол үнэлэгч компани,,Хохирол үнэлэгч,#/sct;id=13/damage/305,33
Даатгалын төлөөлөгч,,Даатгалын байгууллага,#/sct;id=13/insreprensentative/306,19
Даатгалын актуарч,,Даатгалын байгууллага,#/sct;id=13/doc/list/307,17
Даатгалын байгууллагад аудит хийх эрх бүхий компани,,Даатгалын байгууллага,#/sct;id=13/org/308,51
Даатгалын багц дүрэм,,Даатгалын байгууллага,#/sct;id=13/doc/decree/314,20
Даатгалын компаниудын БОНЗ тайлан,,Даатгалын байгууллага,#/sct;id=13/list/1961,33
Ногоон даатгалын бүтээгдэхүүн,,Даатгалын байгууллага,#/sct;id=13/doc/list/1963,29
Даатгалын байгууллагын тоон мэдээлэл,,Даатгалын байгууллага,#/sct;id=13/doc/list/322,36
Хүртээмжтэй даатгал,,Даатгалын байгууллага,#/sct;id=13/doc/list/252,19
